


























































































1 | [38.53495788574219, 1.6226806640625, 206.92518615722656, 640.0] | 
1 | [46.427337646484375, 0.01849265582859516, 200.0529022216797, 640.0] | 
1 | [47.506717681884766, 0.0, 194.9048309326172, 640.0] | 
1 | [43.068092346191406, 0.0, 193.81222534179688, 640.0] | 
1 | [30.1293888092041, 3.033076047897339, 193.42897033691406, 640.0] | 
1 | [16.381254196166992, 4.406469821929932, 187.43490600585938, 639.5810546875] | 
1 | [11.894830703735352, 3.411102771759033, 172.10855102539062, 638.1168823242188] | 
1 | [5.624666690826416, 6.483947277069092, 159.04644775390625, 637.844970703125] | 
1 | [0.29193729162216187, 3.5615017414093018, 151.2675018310547, 635.1463012695312] | 
1 | [0.0, 3.935405731201172, 151.76954650878906, 637.8245239257812] | 
1 | [0.0, 4.240880012512207, 149.81553649902344, 638.689453125] | 
1 | [0.0, 3.3528380393981934, 143.00332641601562, 633.587158203125] | 
1 | [0.0, 2.8134469985961914, 136.7407684326172, 631.1299438476562] | 
1 | [0.0, 2.681047201156616, 128.44952392578125, 630.8110961914062] | 
1 | [0.0, 2.935032844543457, 127.56642150878906, 637.0790405273438] | 
1 | [0.0, 6.412807464599609, 118.8296890258789, 639.1265869140625] | 
1 | [0.0, 5.217770099639893, 115.46065521240234, 639.44677734375] | 
1 | [0.15081964433193207, 5.433852672576904, 112.54248046875, 639.8864135742188] | 
1 | [0.3139808773994446, 5.187403678894043, 108.22834777832031, 640.0] | 
1 | [0.16450993716716766, 5.748440742492676, 113.62297821044922, 640.0] | 




























2 | [557.2241821289062, 14.235261917114258, 623.8628540039062, 521.86474609375] | 
2 | [562.639404296875, 12.090450286865234, 628.1790161132812, 529.9594116210938] | 

2 | [575.7461547851562, 11.347445487976074, 637.55322265625, 546.41259765625] | 




2 | [592.6962890625, 3.0447404384613037, 668.3360595703125, 581.2369995117188] | 
2 | [598.3131103515625, 4.8411688804626465, 675.0770263671875, 597.0447998046875] | 
2 | [599.8680419921875, 2.2596640586853027, 683.7738037109375, 592.95458984375] | 
2 | [610.7213134765625, 0.24651679396629333, 694.2150268554688, 606.1722412109375] | 
2 | [615.3302612304688, 0.0, 702.5685424804688, 615.8365478515625] | 
2 | [616.124267578125, 3.1220552921295166, 709.4110107421875, 615.1314086914062] | 
2 | [623.8497314453125, 1.2647461891174316, 714.073486328125, 635.54541015625] | 
2 | [624.5235595703125, 5.194329261779785, 721.9405517578125, 640.0] | 
2 | [632.1608276367188, 3.481386184692383, 729.8592529296875, 640.0] | 
2 | [634.9677734375, 3.1652841567993164, 740.7416381835938, 606.85107421875] | 
2 | [636.2603149414062, 4.886552333831787, 747.1336669921875, 630.7971801757812] | 
2 | [645.26611328125, 5.078643798828125, 755.7940673828125, 639.0299072265625] | 
2 | [650.7255859375, 6.32511568069458, 765.5581665039062, 640.0] | 
2 | [657.7528686523438, 7.072389125823975, 776.9802856445312, 640.0] | 
2 | [659.40087890625, 6.3641228675842285, 789.1688232421875, 639.1867065429688] | 
2 | [664.3555297851562, 6.064190864562988, 798.6452026367188, 636.014404296875] | 
2 | [674.2949829101562, 4.676517963409424, 809.833984375, 625.0133666992188] | 
2 | [677.5673828125, 3.203967809677124, 828.0437622070312, 621.9243774414062] | 
2 | [682.1290283203125, 3.557647943496704, 838.3418579101562, 628.73193359375] | 
2 | [681.659423828125, 4.275800704956055, 840.0, 636.6998291015625] | 
2 | [689.3873901367188, 2.3843626976013184, 840.0, 639.7909545898438] | 
2 | [686.8348999023438, 4.339089870452881, 840.0, 640.0] | 
2 | [689.8441772460938, 5.686440944671631, 840.0, 640.0] | 
2 | [699.155029296875, 6.511148929595947, 840.0, 640.0] | 3 | [582.7462158203125, 6.3069353103637695, 674.1787109375, 600.7349853515625] | 
2 | [709.5875854492188, 7.895928859710693, 840.0, 640.0] | 3 | [591.8536376953125, 6.294565200805664, 677.4338989257812, 604.3056640625] | 
2 | [706.0486450195312, 7.994449138641357, 840.0, 640.0] | 
2 | [714.0928955078125, 8.553729057312012, 840.0, 640.0] | 
2 | [740.2318725585938, 2.80200457572937, 840.0, 637.4446411132812] | 
2 | [751.7017822265625, 1.6057804822921753, 840.0, 633.1400146484375] | 3 | [631.860107421875, 0.0, 704.9998168945312, 615.9223022460938] | 

3 | [633.5186157226562, 1.3448148965835571, 715.4697875976562, 621.7040405273438] | 


3 | [645.6776123046875, 0.0, 735.5451049804688, 636.1610107421875] | 
3 | [655.2915649414062, 0.26630544662475586, 745.2009887695312, 638.301025390625] | 
3 | [661.696044921875, 4.140445709228516, 753.9467163085938, 640.0] | 

3 | [669.2991333007812, 6.260666847229004, 777.8699340820312, 640.0] | 
3 | [673.5711059570312, 6.770985126495361, 788.1903686523438, 639.67626953125] | 
3 | [682.1803588867188, 7.838926315307617, 798.5291748046875, 640.0] | 
3 | [688.1484375, 9.62723445892334, 808.39599609375, 640.0] | 
3 | [694.4911499023438, 8.115459442138672, 823.4051513671875, 640.0] | 
3 | [696.5830078125, 7.177544593811035, 834.4146728515625, 639.8048706054688] | 
3 | [702.2819213867188, 6.556992053985596, 840.0, 640.0] | 
3 | [710.4879760742188, 8.718334197998047, 840.0, 640.0] | 
3 | [715.0128173828125, 7.750117301940918, 840.0, 640.0] | 
3 | [722.4244995117188, 5.961598873138428, 840.0, 640.0] | 
3 | [731.20556640625, 5.789612293243408, 840.0, 640.0] | 
3 | [736.4949951171875, 5.962384223937988, 840.0, 640.0] | 
